key,en,ru
KEY_SETTING_FSR_SHARPNESS_TOOLTIP,"The lower the value, the sharper the image","Чем ниже значение, тем выше резкость"
KEY_SETTING_TAA,TAA,TAA
KEY_SETTING_MSAA,MSAA,MSAA
KEY_SETTING_FXAA,FXAA,FXAA
KEY_SETTING_DISPLAY_MODE,Display Mode,Режим отображения
KEY_SETTING_SCALING_MODE,Scaling 3D Mode,Режим масштабирование 3D
KEY_SETTING_RENDER_RESOLUTION,Render Resolution (%d%% - %d x %d),Разрешение отрисовки  (%d%% - %d x %d)
KEY_SETTING_INTERFACE_SCALE,Interface Scale (%1.2fx),Масштабирование интерфейса (%1.2fx)
KEY_SETTING_FSR_TOOLTIP,"When using FSR upscaling, AMD recommends this render percentages : Ultra Quality: 77%\"", \""Quality: 67%\"", \""Balanced: 59%\"", Performance: 50%.","При использовании FSR, AMD рекомендует использовать данные значение процента рендера : Ultra Quality: 77%, Quality: 67%, Balanced: 59%, Performance: 50%."
KEY_SETTING_SDFGI_TOOLTIP,Made HUGE performance impact with minimal graphic benefits,Очень сильно понижает производительность без заметной разницы в графике
KEY_SETTING_FRAMECAP,Custom Framerate Limit (%d Cap),Ограничение FPS :  (%d FPS)
KEY_SETTING_DISPLAY_MONITOR,Game Monitor,Монитор игры
KEY_SETTING_SSAO,Screen Space Ambient Occlusion (SSAO),Затенение в экранном пространстве (SSAO)
KEY_SETTING_GRAPHIC_PRESET,Graphics Preset,Графическая предустановка
KEY_SETTING_SHADERS_QUALITY,Shaders Quality,Качество шейдеров
KEY_SETTING_VSYNC,Sync Every Frame (V-Sync),Вертикальная синхронизация (V-SYNC)
KEY_SETTING_FSR_SHARPNESS,FSR Sharpness : (%1.1f),FSR Резкость : (%1.1f)
KEY_SETTING_SDFGI,Signed Distance Field Global Illumination (SDFGI),Глобальное освещение (SDFGI)
KEY_SETTING_GLOW,Glow Effect,Эффект свечения
KEY_SETTING_SSIL,Screen Space Indirect Lighting (SSIL),Непрямое освещение экранного пространства (SSIL)
KEY_SETTING_VOLUMETRIC_FOG,Volumetric FOG,Объемный туман
KEY_SETTING_SSR_TOOLTIP,Brokes weapon render; Force Disabled,"Ломает отображение оружия, НЕ РАБОТАЕТ"
KEY_SETTING_SSR,Screen Space Reflections (SSR),Отражение в экранном пространстве (SSR)
KEY_SETTING_DECALS,Decals & Other,Декали и другое
KEY_SETTING_MASTER_VOLUME,Master Volume (%d%%),Основной уровень воспроизведения (%d%%)
KEY_SETTING_WEAPON_VOLUME,Weapon Volume (%d%%,Уровень воспроизведения оружия (%d%%)
KEY_SETTING_MUSIC_VOLUME,Music Volume (%d%%),Уровень воспроизведения музыки (%d%%)
KEY_SETTING_SFX_VOLUME,SFX Volume (%d%%),Уровень воспроизведения эффектов (%d%%)
KEY_SETTING_MOUSE_SENSITIVITY,Mouse Sensitivity (%1.2f),Чувствительность мыши (%1.2f)
KEY_SETTING_CAMERA_FOV,Camera FOV (%s),Поле зрения (%s)
KEY_SETTING_WEAPON_CAMERA_FOV,Weapon Camera FOV (%s),Поле зрения оружия (%s)
KEY_SETTINGS_GRASS_RENDER,Vegetation,Растительность
KEY_SETTINGS_WATER_RENDER,Water & Puddles,Вода и лужи
KEY_SETTING_LANGUAGE_SELECTOR,Language,Язык
KEY_SETTINGS_PRELOAD_WEAPONS_SCENES,Preload Weapons,Предзагрузка оружия
KEY_SETTINGS_PRELOAD_WEAPONS_SCENES_TOOLTIP,"Increase RAM usage (preload_weapons_scenes), but minimize freeze with weapon instantiate","Увеличивает потребление ОЗУ, но убирает зависания при подборе оружия"
KET_SETTING_LANGUAGE_TOOLTIP,Restart the game to fully apply the language change,Перезапусти игру для полной смены языка
KEY_SETTING_SHADOW,Dynamic Shadows,Динамические тени
KEY_SETTING_SHADOWS_QUALITY,Shadows Quality,Качество теней
KEY_SETTINGS_DISABLED,Disabled,Отключено
KEY_SETTINGS_LOW,Low,Низкие
KEY_SETTINGS_MEDIUM,Medium,Средние
KEY_SETTINGS_ULTRA_LOW,Ultra Low,Очень низкие
KEY_SETTINGS_HIGH,High,Высокие
KEY_SETTINGS_CUSTOM,Custom,Пользовательские
KEY_SETTINGS_DISPLAY,Display,Отображение
KEY_SETTINGS_GRAPHICS,Graphics,Графика
KEY_SETTINGS_SOUNDS,Sounds,Громкость
KEY_SETTINGS_INPUT,Input,Ввод
KEY_SETTINGS_OTHER,Other,Остальное
KEY_SETTINGS_SAVE_SETTINGS,Save Settings,Сохранить настройки
KEY_SETTINGS_RESET_ACTIONS,Reset To Default,Сбросить к значениям по умолчанию
KEY_SETTINGS_MOUSE,Mouse Settings,Настройки мыши
KEY_SETTINGS_PRESS_BUTTON_TO_MAP,Press key to bind...,Нажмите клавишу для привязки
KEY_SETTINGS_KEY_BINDING,Key Bindings,Привязка клавиш
